dataset,ph,variant_id,method,family,graph,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,n_seeds,wins_vs_tgcn_of_5,n_edges
losloop,3,multi_gsl_mix,T-GCN-MultiGSL-Mix,T-GCN,DAGMA multi-lag (per-node gating),5.545720,0.156366,5.342000,5.711200,3.224160,0.094004,3.112100,3.347000,5,5,30
losloop,3,gcn_physical,GCN,GCN,physical road network,8.764680,0.258815,8.387600,9.076400,6.120720,0.145451,5.910500,6.299100,5,0,2833
losloop,3,gcn_no_spatial,GCN-NoSpatial,GCN,identity (no graph),6.022580,0.280407,5.587300,6.294200,3.554320,0.176894,3.275500,3.759900,5,5,207
losloop,3,gcn_gsl,GCN-GSL,GCN,DAGMA contemporaneous,8.448220,0.187382,8.182600,8.694600,5.649320,0.150962,5.464500,5.845200,5,2,28
losloop,3,gcn_cgsl,GCN-cGSL,GCN,"DAGMA contemporaneous, symmetrized",6.684360,0.250704,6.296700,6.945700,4.115000,0.159768,3.867500,4.305700,5,5,56
losloop,3,gcn_multigsl,GCN-MultiGSL,GCN,DAGMA multi-lag union,10.240980,0.130054,10.087600,10.401800,6.835640,0.082242,6.739900,6.963500,5,0,28
losloop,4,physical,T-GCN,T-GCN,physical road network,8.659360,0.162573,8.448400,8.824500,5.996720,0.163769,5.808400,6.171600,5,0,2833
losloop,4,no_spatial,T-GCN-NoSpatial,T-GCN,identity (no graph),6.576180,0.116740,6.444600,6.760400,3.724280,0.080577,3.630800,3.828800,5,5,207
losloop,4,gsl,T-GCN-GSL,T-GCN,DAGMA contemporaneous,7.040260,0.094606,6.910000,7.134900,4.299360,0.057822,4.231700,4.384000,5,5,28
losloop,4,cgsl,T-GCN-cGSL,T-GCN,"DAGMA contemporaneous, symmetrized",7.088120,0.122666,6.986500,7.288300,4.176900,0.077163,4.091700,4.259400,5,5,56
losloop,4,multi_gsl,T-GCN-MultiGSL,T-GCN,DAGMA multi-lag (fixed),6.259780,0.033149,6.211600,6.293300,3.500880,0.045217,3.464400,3.574200,5,5,30
losloop,4,multi_gsl_weighted,T-GCN-MultiGSL-Weighted,T-GCN,DAGMA multi-lag (learned global weights),6.253180,0.030988,6.211000,6.290300,3.489620,0.042957,3.441400,3.550500,5,5,30
losloop,4,multi_gsl_mix,T-GCN-MultiGSL-Mix,T-GCN,DAGMA multi-lag (per-node gating),5.858900,0.067379,5.818200,5.978800,3.393920,0.018145,3.368800,3.416400,5,5,30
losloop,4,gcn_physical,GCN,GCN,physical road network,8.764820,0.285809,8.490200,9.199500,6.115580,0.147760,5.973900,6.348700,5,2,2833
